term_str,n,p,i,h,n_chars,max_pos,stem_porter,stem_snowball,stem_lancaster
confirm,5,0.00018174548362473193,12.425792865930905,0.002258331733839356,7,NN,confirm,confirm,confirm
explained,5,0.00018174548362473193,12.425792865930905,0.002258331733839356,9,VBD,explain,explain,explain
exceptional,5,0.00018174548362473193,12.425792865930905,0.002258331733839356,11,JJ,except,except,exceiv
nmat,5,0.00018174548362473193,12.425792865930905,0.002258331733839356,4,NN,nmat,nmat,nmat
software,5,0.00018174548362473193,12.425792865930905,0.002258331733839356,8,NN,softwar,softwar,softw
feconicu,5,0.00018174548362473193,12.425792865930905,0.002258331733839356,8,NN,feconicu,feconicu,feconicu
bragg,5,0.00018174548362473193,12.425792865930905,0.002258331733839356,5,NN,bragg,bragg,brag
curtin,5,0.00018174548362473193,12.425792865930905,0.002258331733839356,6,NN,curtin,curtin,curtin
requires,5,0.00018174548362473193,12.425792865930905,0.002258331733839356,8,VBZ,requir,requir,requir
dilute,5,0.00018174548362473193,12.425792865930905,0.002258331733839356,6,NN,dilut,dilut,dilut
sets,5,0.00018174548362473193,12.425792865930905,0.002258331733839356,4,NNS,set,set,set
possess,5,0.00018174548362473193,12.425792865930905,0.002258331733839356,7,NN,possess,possess,possess
equi-composition,5,0.00018174548362473193,12.425792865930905,0.002258331733839356,16,NN,equi-composit,equi-composit,equi-composition
shifts,5,0.00018174548362473193,12.425792865930905,0.002258331733839356,6,NNS,shift,shift,shift
metastable,5,0.00018174548362473193,12.425792865930905,0.002258331733839356,10,JJ,metast,metast,metast
chemically,5,0.00018174548362473193,12.425792865930905,0.002258331733839356,10,RB,chemic,chemic,chem
k-points,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,8,NNS,k-point,k-point,k-points
neighboring,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,11,VBG,neighbor,neighbor,neighb
count,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,5,NN,count,count,count
suppressed,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,10,VBN,suppress,suppress,suppress
university,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,10,NNP,univers,univers,univers
avoid,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,5,NN,avoid,avoid,avoid
wang,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,4,NN,wang,wang,wang
length,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,6,NN,length,length,leng
contents,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,8,NNS,content,content,cont
subsequently,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,12,RB,subsequ,subsequ,subsequ
magnitude,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,9,NN,magnitud,magnitud,magnitud
dispersed,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,9,VBN,dispers,dispers,dispers
markedly,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,8,RB,markedli,mark,mark
solutedislocation,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,17,NN,solutedisloc,solutedisloc,solutedisloc
co-cr-fe-mn-ni-v,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,16,NN,co-cr-fe-mn-ni-v,co-cr-fe-mn-ni-v,co-cr-fe-mn-ni-v
evaluation,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,10,NN,evalu,evalu,evalu
ni-101co,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,8,NN,ni-101co,ni-101co,ni-101co
time-of-flight,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,14,NN,time-of-flight,time-of-flight,time-of-flight
hffawirre,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,9,NN,hffawirr,hffawirr,hffawirre
aaax,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,4,NN,aaax,aaax,aaax
assume,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,6,VB,assum,assum,assum
vecs,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,4,NN,vec,vec,vec
4142022,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,7,CD,4142022,4142022,4142022
chosen,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,6,NN,chosen,chosen,chos
v-free,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,6,JJ,v-free,v-free,v-free
laboratory,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,10,NN,laboratori,laboratori,lab
allow,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,5,VB,allow,allow,allow
computational,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,13,NN,comput,comput,comput
proportion,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,10,NN,proport,proport,proport
1223,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,4,CD,1223,1223,1223
slopes,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,6,NNS,slope,slope,slop
examined,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,8,VBN,examin,examin,examin
thermodynamic,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,13,JJ,thermodynam,thermodynam,thermodynam
plays,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,5,NNS,play,play,play
fundamental,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,11,JJ,fundament,fundament,funda
nico-cr,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,7,NN,nico-cr,nico-cr,nico-cr
separated,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,9,VBN,separ,separ,sep
homogenized,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,11,VBN,homogen,homogen,homog
whose,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,5,WP$,whose,whose,whos
barrier,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,7,NN,barrier,barrier,barry
considerable,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,12,JJ,consider,consider,consid
virginia,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,8,NNP,virginia,virginia,virgin
extent,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,6,NN,extent,extent,ext
etc,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,3,NN,etc,etc,etc
gmbh,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,4,NN,gmbh,gmbh,gmbh
produce,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,7,NN,produc,produc,produc
attractive,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,10,JJ,attract,attract,attract
0356,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,4,CD,0356,0356,0356
nomotaw,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,7,NN,nomotaw,nomotaw,nomotaw
transforms,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,10,NNS,transform,transform,transform
potentials,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,10,NNS,potenti,potenti,pot
infinite,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,8,NN,infinit,infinit,infinit
decomposition,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,13,NN,decomposit,decomposit,decomposit
mode,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,4,NN,mode,mode,mod
44236,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,5,CD,44236,44236,44236
foil,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,4,NN,foil,foil,foil
suggest,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,7,NN,suggest,suggest,suggest
favor,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,5,NN,favor,favor,fav
complete,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,8,JJ,complet,complet,complet
1273k,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,5,CD,1273k,1273k,1273k
gcm,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,3,NN,gcm,gcm,gcm
cauchy,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,6,NN,cauchi,cauchi,cauchy
retained,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,8,VBN,retain,retain,retain
precipitate,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,11,NN,precipit,precipit,precipit
erdogan,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,7,NNS,erdogan,erdogan,erdog
800c,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,4,CD,800c,800c,800c
o-mn-type,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,9,NN,o-mn-typ,o-mn-typ,o-mn-type
138,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,3,CD,138,138,138
relevant,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,8,NN,relev,relev,relev
universal,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,9,NN,univers,univers,univers
blue,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,4,NN,blue,blue,blu
shaded,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,6,VBD,shade,shade,shad
laves,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,5,NNS,lave,lave,lav
improved,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,8,VBN,improv,improv,improv
grey,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,4,NN,grey,grey,grey
reduce,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,6,VB,reduc,reduc,reduc
beam,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,4,NN,beam,beam,beam
cocrfenial,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,10,NN,cocrfeni,cocrfeni,cocrf
ooo,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,3,NN,ooo,ooo,ooo
area,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,4,NN,area,area,are
separate,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,8,JJ,separ,separ,sep
low-temperature,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,15,NN,low-temperatur,low-temperatur,low-temperature
august,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,6,NNP,august,august,august
moreru,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,6,NN,moreru,moreru,moreru
importantly,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,11,RB,importantli,import,import
stresses,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,8,NNS,stress,stress,stresses
six,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,3,CD,six,six,six
43m,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,3,CD,43m,43m,43m
whereas,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,7,NNS,wherea,wherea,wherea
strukturbericht,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,15,NN,strukturbericht,strukturbericht,strukturbericht
batches,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,7,NNS,batch,batch,batch
numbers,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,7,NNS,number,number,numb
jar,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,3,NN,jar,jar,jar
none,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,4,NN,none,none,non
alcocrfemnni,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,12,NN,alcocrfemnni,alcocrfemnni,alcocrfemnn
295,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,3,CD,295,295,295
discovery,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,9,NN,discoveri,discoveri,discovery
perform,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,7,NN,perform,perform,perform
mno1,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,4,NN,mno1,mno1,mno1
overdetermined,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,14,VBN,overdetermin,overdetermin,overdetermin
easily,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,6,RB,easili,easili,easy
prototype,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,9,NN,prototyp,prototyp,prototyp
micrographs,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,11,NN,micrograph,micrograph,micrograph
micro,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,5,NN,micro,micro,micro
contact,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,7,NN,contact,contact,contact
profile,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,7,NN,profil,profil,profil
mean-square,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,11,NN,mean-squar,mean-squar,mean-square
accordance,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,10,NN,accord,accord,accord
300k,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,4,CD,300k,300k,300k
hume-rothery,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,12,NN,hume-rotheri,hume-rotheri,hume-rothery
371,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,3,CD,371,371,371
chem,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,4,NN,chem,chem,chem
need,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,4,NN,need,need,nee
technology,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,10,NN,technolog,technolog,technolog
search,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,6,NN,search,search,search
fabrication,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,11,NN,fabric,fabric,fabr
introduction,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,12,NN,introduct,introduct,introduc
crystallize,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,11,NN,crystal,crystal,crystal
cocrfeniaitig,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,13,NN,cocrfeniaitig,cocrfeniaitig,cocrfeniaitig
analyzing,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,9,VBG,analyz,analyz,analys
efficient,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,9,NN,effici,effici,efficy
fitted,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,6,VBN,fit,fit,fit
identification,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,14,NN,identif,identif,id
identity,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,8,NN,ident,ident,id
10441-10449,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,11,JJ,10441-10449,10441-10449,10441-10449
hffawptre,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,9,NN,hffawptr,hffawptr,hffawptre
cocrfenialp,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,11,NN,cocrfenialp,cocrfenialp,cocrfenialp
latter,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,6,NN,latter,latter,lat
ingot,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,5,NN,ingot,ingot,ingot
additionally,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,12,RB,addit,addit,addit
beyond,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,6,IN,beyond,beyond,beyond
vol,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,3,NN,vol,vol,vol
origin,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,6,NN,origin,origin,origin
parameter-free,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,14,JJ,parameter-fre,parameter-fre,parameter-free
either,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,6,DT,either,either,eith
stabilized,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,10,VBN,stabil,stabil,stabl
ground,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,6,NN,ground,ground,ground
consist,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,7,NN,consist,consist,consist
cooled,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,6,VBN,cool,cool,cool
as-sintered,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,11,JJ,as-sint,as-sint,as-sintered
stoichiometry,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,13,NN,stoichiometri,stoichiometri,stoichiometry
end,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,3,NN,end,end,end
bright,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,6,NN,bright,bright,bright
texture,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,7,NN,textur,textur,text
broad,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,5,JJ,broad,broad,broad
respective,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,10,NN,respect,respect,respect
evolves,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,7,NNS,evolv,evolv,evolv
necessarily,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,11,RB,necessarili,necessarili,necess
downloaded,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,10,VBN,download,download,download
overlap,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,7,NN,overlap,overlap,overlap
lattices,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,8,NNS,lattic,lattic,lat
needs,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,5,NNS,need,need,nee
severe,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,6,JJ,sever,sever,sev
toughness,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,9,NN,tough,tough,tough
cryogenic,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,9,NN,cryogen,cryogen,cryog
problem,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,7,NN,problem,problem,problem
largest,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,7,JJS,largest,largest,largest
smallest,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,8,JJS,smallest,smallest,smallest
interesting,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,11,VBG,interest,interest,interest
solvent,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,7,NN,solvent,solvent,solv
exothermic,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,10,JJ,exotherm,exotherm,exotherm
ni-fe,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,5,NN,ni-f,ni-f,ni-fe
mn3co7,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,6,NN,mn3co7,mn3co7,mn3co7
kind,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,4,NN,kind,kind,kind
104,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,3,CD,104,104,104
identify,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,8,VB,identifi,identifi,ident
ensure,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,6,VB,ensur,ensur,ens
quantitatively,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,14,RB,quantit,quantit,quantit
errors,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,6,NNS,error,error,er
kink,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,4,NN,kink,kink,kink
feature,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,7,NN,featur,featur,feat
exist,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,5,NN,exist,exist,ex
extrapolation,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,13,NN,extrapol,extrapol,extrapol
adopted,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,7,VBN,adopt,adopt,adopt
loss,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,4,NN,loss,loss,loss
femnni,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,6,NN,femnni,femnni,femnn
features,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,8,NNS,featur,featur,feat
species,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,7,NNS,speci,speci,specy
augmented,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,9,VBN,augment,augment,aug
distinguish,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,11,NN,distinguish,distinguish,distinct
dissolution,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,11,NN,dissolut,dissolut,dissolv
strongly,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,8,RB,strongli,strong,strongly
shift,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,5,NN,shift,shift,shift
inset,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,5,NN,inset,inset,inset
future,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,6,NN,futur,futur,fut
find,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,4,VB,find,find,find
longer,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,6,NN,longer,longer,long
fewer,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,5,JJR,fewer,fewer,few
suggests,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,8,NNS,suggest,suggest,suggest
gga,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,3,NN,gga,gga,gga
choice,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,6,NN,choic,choic,cho
occur,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,5,NN,occur,occur,occ
differential,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,12,NN,differenti,differenti,diff
attracted,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,9,VBD,attract,attract,attract
reciprocal,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,10,JJ,reciproc,reciproc,reciproc
years,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,5,NNS,year,year,year
fully,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,5,RB,fulli,fulli,ful
relaxed,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,7,NN,relax,relax,relax
basic,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,5,JJ,basic,basic,bas
support,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,7,NN,support,support,support
great,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,5,JJ,great,great,gre
sensitive,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,9,JJ,sensit,sensit,sensit
focus,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,5,NN,focu,focus,foc
converted,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,9,VBN,convert,convert,convert
commonly,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,8,RB,commonli,common,common
suitable,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,8,JJ,suitabl,suitabl,suit
helpful,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,7,NN,help,help,help
planetary,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,9,JJ,planetari,planetari,planet
susceptibility,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,14,NN,suscept,suscept,suscept
framework,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,9,NN,framework,framework,framework
route,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,5,NN,rout,rout,rout
knee,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,4,NN,knee,knee,kne
whether,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,7,IN,whether,whether,wheth
verify,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,6,NN,verifi,verifi,ver
constituents,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,12,NNS,constitu,constitu,constitu
fec,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,3,NN,fec,fec,fec
balls,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,5,NNS,ball,ball,bal
implemented,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,11,VBN,implement,implement,impl
simulations,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,11,NNS,simul,simul,sim
995,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,3,CD,995,995,995
contain,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,7,NN,contain,contain,contain
scientific,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,10,JJ,scientif,scientif,sci
maps,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,4,NNS,map,map,map
scheme,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,6,NN,scheme,scheme,scheme
noble,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,5,JJ,nobl,nobl,nobl
take,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,4,VB,take,take,tak
protective,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,10,NN,protect,protect,protect
agent,4,0.00014539638689978554,12.747720960818267,0.0018534725689096387,5,NN,agent,agent,ag
recognized,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,10,VBN,recogn,recogn,recogn
optimized,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,9,VBN,optim,optim,optim
gradual,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,7,JJ,gradual,gradual,grad
loading,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,7,VBG,load,load,load
concentration-weighted,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,22,JJ,concentration-weight,concentration-weight,concentration-weighted
expanded,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,8,VBN,expand,expand,expand
graphite,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,8,NN,graphit,graphit,graphit
underestimate,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,13,NN,underestim,underestim,underestim
nonmonotonic,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,12,JJ,nonmonoton,nonmonoton,nonmonoton
uncertainties,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,13,NNS,uncertainti,uncertainti,uncertainty
requirement,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,11,NN,requir,requir,requir
negligible,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,10,JJ,neglig,neglig,neglig
214,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,3,CD,214,214,214
karlsruhe,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,9,NNP,karlsruh,karlsruh,karlsruh
classical,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,9,JJ,classic,classic,class
190,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,3,CD,190,190,190
benchmark,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,9,NN,benchmark,benchmark,benchmark
zeiss,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,5,VB,zeiss,zeiss,zeiss
rapid,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,5,JJ,rapid,rapid,rapid
computations,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,12,NNS,comput,comput,comput
175,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,3,CD,175,175,175
contamination,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,13,NN,contamin,contamin,contamin
diagrams,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,8,NNS,diagram,diagram,diagram
solidification,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,14,NN,solidif,solidif,solid
russia,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,6,NN,russia,russia,russ
plots,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,5,NNS,plot,plot,plot
variety,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,7,NN,varieti,varieti,vary
dendritic,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,9,JJ,dendrit,dendrit,dendrit
feasible,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,8,JJ,feasibl,feasibl,feas
criterions,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,10,NNS,criterion,criterion,crit
agreed,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,6,VBD,agre,agre,agree
flow,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,4,NN,flow,flow,flow
belongs,3,0.00010904729017483916,13.16275846009711,0.0014353631412995285,7,NNS,belong,belong,belong
